name,type_name,parent,status,rank,address
Cardiobacterium,Cardiobacterium,Cardiobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/cardiobacterium
Halopiger,Halopiger,Natrialbaceae,correct name,genus,https://lpsn.dsmz.de/genus/halopiger
Anaerotaenia,Anaerotaenia,Lachnospiraceae,correct name,genus,https://lpsn.dsmz.de/genus/anaerotaenia
Tepidiphilus,Tepidiphilus,Hydrogenophilaceae,correct name,genus,https://lpsn.dsmz.de/genus/tepidiphilus
Thiomicrorhabdus,Thiomicrorhabdus,Piscirickettsiaceae,correct name,genus,https://lpsn.dsmz.de/genus/thiomicrorhabdus
Saccharospirillum,Saccharospirillum,Saccharospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/saccharospirillum
Wolinella,Wolinella,Helicobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/wolinella
Nioella,Nioella,Roseobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/nioella
Marivibrio,Marivibrio,Kiloniellaceae,correct name,genus,https://lpsn.dsmz.de/genus/marivibrio
Copranaerobaculum,Copranaerobaculum,Erysipelotrichaceae,correct name,genus,https://lpsn.dsmz.de/genus/copranaerobaculum
Fervidicoccus,Fervidicoccus,Fervidicoccaceae,correct name,genus,https://lpsn.dsmz.de/genus/fervidicoccus
Lawsonella,Lawsonella,Lawsonellaceae,correct name,genus,https://lpsn.dsmz.de/genus/lawsonella
Polaribacter,Polaribacter,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/polaribacter
Alkalihalobacterium,Alkalihalobacterium,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/alkalihalobacterium
Arcticibacter,Arcticibacter,Sphingobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/arcticibacter
Eremococcus,Eremococcus,Aerococcaceae,correct name,genus,https://lpsn.dsmz.de/genus/eremococcus
Roseitalea,Roseitalea,Phyllobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/roseitalea
Actinopolymorpha,Actinopolymorpha,Actinopolymorphaceae,correct name,genus,https://lpsn.dsmz.de/genus/actinopolymorpha
Sphingobacterium,Sphingobacterium,Sphingobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/sphingobacterium
Paracandidimonas,Paracandidimonas,Alcaligenaceae,correct name,genus,https://lpsn.dsmz.de/genus/paracandidimonas
Halococcoides,Halococcoides,Haloarculaceae,correct name,genus,https://lpsn.dsmz.de/genus/halococcoides
Aminobacterium,Aminobacterium,Synergistaceae,correct name,genus,https://lpsn.dsmz.de/genus/aminobacterium
Methanoculleus,Methanoculleus,Methanomicrobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/methanoculleus
Lacinutrix,Lacinutrix,Flavobacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/lacinutrix
Natronotalea,Natronotalea,Rhodothermaceae,correct name,genus,https://lpsn.dsmz.de/genus/natronotalea
Microbispora,Microbispora,Streptosporangiaceae,correct name,genus,https://lpsn.dsmz.de/genus/microbispora
Rufibacter,Rufibacter,Hymenobacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/rufibacter
Thermovenabulum,Thermovenabulum,Thermosediminibacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/thermovenabulum
Vulgatibacter,Vulgatibacter,Vulgatibacteraceae,correct name,genus,https://lpsn.dsmz.de/genus/vulgatibacter
Luteococcus,Luteococcus,Propionibacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/luteococcus
Marinospirillum,Marinospirillum,Oceanospirillaceae,correct name,genus,https://lpsn.dsmz.de/genus/marinospirillum
Lyticum,Lyticum,Ehrlichiaceae,correct name,genus,https://lpsn.dsmz.de/genus/lyticum
Ornithinibacillus,Ornithinibacillus,Bacillaceae,correct name,genus,https://lpsn.dsmz.de/genus/ornithinibacillus
Acetobacterium,Acetobacterium,Eubacteriaceae,correct name,genus,https://lpsn.dsmz.de/genus/acetobacterium
Roseibacillus,Roseibacillus,Verrucomicrobiaceae,correct name,genus,https://lpsn.dsmz.de/genus/roseibacillus
Catalinimonas,Catalinimonas,Catalinimonadaceae,correct name,genus,https://lpsn.dsmz.de/genus/catalinimonas
Mycetohabitans,Mycetohabitans,Burkholderiaceae,correct name,genus,https://lpsn.dsmz.de/genus/mycetohabitans
